Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
3635.0,2022-03-21,7.3069075,5.1398175,0.779999971,1.090000033,2.450000048,181.1900024,12.80000019,4.920000076,2.0,0.400000006,2.5,1.049999952,1.389999986,2.779999971,184.8600006,0.980000019,0.839999974
3637.0,2022-03-21,7.3069315,5.1398255,0.779999971,1.039999962,1.929999948,182.9799957,9.0,0.519999981,2.0,0.400000006,0.300000012,0.779999971,0.829999983,2.769999981,186.7799988,0.649999976,1.139999986
3641.0,2022-03-21,7.306974,5.1398645,1.139999986,2.460000038,4.03000021,182.3300018,9.300000191,3.859999895,2.0,0.400000006,1.899999976,0.779999971,1.679999948,3.420000076,186.0899963,1.24000001,2.130000114
3643.0,2022-03-21,7.3069675,5.1399,0.779999971,2.109999895,4.090000153,183.3000031,8.800000191,1.330000043,2.0,0.400000006,0.699999988,0.790000021,1.960000038,13.26000023,188.2899933,1.340000033,3.059999943
3645.0,2022-03-21,7.306948,5.139938,0.779999971,1.409999967,2.539999962,183.9400024,9.699999809,1.590000033,2.0,0.400000006,0.800000012,0.779999971,1.039999962,2.670000076,187.1000061,0.670000017,1.299999952
3647.0,2022-03-21,7.3069265,5.1399815,0.779999971,1.039999962,2.75999999,183.8000031,7.0,2.690000057,2.0,0.400000006,1.299999952,0.629999995,1.039999962,1.889999986,187.1300049,0.649999976,1.139999986
3649.0,2022-03-21,7.306903,5.1400315,0.779999971,1.090000033,3.49000001,185.5500031,15.19999981,1.25999999,2.0,0.400000006,0.600000024,1.049999952,1.090000033,42.54000092,185.6799927,0.970000029,0.839999974
3651.0,2022-03-21,7.306882,5.1400855,1.059999943,2.089999914,1.269999981,187.1300049,6.800000191,0.460000008,2.0,0.400000006,0.200000003,1.059999943,2.789999962,39.25,187.0700073,1.159999967,2.119999886
3653.0,2022-03-21,7.306862,5.1401345,0.779999971,2.109999895,3.670000076,184.3099976,9.899999619,1.039999962,2.0,0.400000006,0.5,0.779999971,2.109999895,7.519999981,186.2899933,1.00999999,2.369999886
3655.0,2022-03-21,7.3068385,5.140195,0.779999971,1.730000019,3.74000001,182.8500061,10.5,1.350000024,2.0,0.400000006,0.699999988,0.779999971,1.799999952,14.53999996,185.75,0.660000026,2.50999999
3657.0,2022-03-21,7.3068025,5.1402865,0.779999971,1.039999962,1.149999976,182.7700043,18.0,5.539999962,2.0,0.400000006,2.799999952,0.939999998,1.039999962,1.519999981,187.25,1.289999962,0.769999981
3659.0,2022-03-21,7.3067565,5.1404,0.779999971,1.090000033,0.680000007,180.9400024,15.19999981,6.329999924,2.0,0.400000006,3.200000048,0.519999981,0.75999999,1.830000043,185.1300049,0.649999976,1.519999981
3701.0,2022-03-21,7.306715,5.1404975,1.059999943,1.830000043,3.130000114,183.6100006,4.599999905,0.349999994,2.099999905,0.400000006,0.200000003,1.460000038,1.879999995,3.779999971,186.5800018,0.639999986,1.75999999
3703.0,2022-03-21,7.306688,5.1405585,0.779999971,1.679999948,2.75999999,178.7899933,6.300000191,0.540000021,2.0,0.400000006,0.300000012,0.519999981,2.430000067,6.53000021,183.6999969,1.220000029,1.679999948
3705.0,2022-03-21,7.306668,5.1406075,0.779999971,2.75999999,2.579999924,189.3899994,3.900000095,0.419999987,2.099999905,0.400000006,0.200000003,0.779999971,2.00999999,3.99000001,192.1199951,1.0,3.460000038
3707.0,2022-03-21,7.306646,5.1406625,0.779999971,1.039999962,0.200000003,186.1000061,11.0,3.25999999,2.0,0.400000006,1.600000024,0.779999971,1.039999962,1.440000057,188.8899994,0.639999986,1.019999981
3709.0,2022-03-21,7.3066175,5.1407255,0.779999971,1.379999995,1.610000014,178.6699982,10.80000019,21.5,2.0,0.400000006,10.80000019,0.939999998,1.379999995,1.320000052,182.1799927,0.649999976,2.019999981
3711.0,2022-03-21,7.306581,5.14081,0.779999971,1.039999962,1.899999976,177.5,8.5,3.640000105,2.0,0.400000006,1.799999952,0.519999981,0.689999998,2.960000038,179.6900024,1.279999971,0.75999999
3713.0,2022-03-21,7.3065375,5.1409045,1.059999943,2.180000067,4.329999924,179.9100037,5.800000191,0.49000001,2.0,0.400000006,0.200000003,2.130000114,2.410000086,9.130000114,182.5800018,1.230000019,1.970000029
3715.0,2022-03-21,7.306495,5.1409925,0.779999971,2.109999895,2.440000057,180.4299927,4.0,0.409999996,2.0,0.400000006,0.200000003,0.779999971,1.700000048,8.369999886,183.6600037,0.689999998,3.059999943
3717.0,2022-03-21,7.3064475,5.141097,0.779999971,1.730000019,2.720000029,176.7799988,4.0,0.239999995,2.0,0.400000006,0.100000001,0.779999971,1.730000019,2.25999999,179.7100067,0.660000026,1.639999986
3719.0,2022-03-21,7.306393,5.14123,0.779999971,1.039999962,1.360000014,175.5,4.0,0.779999971,2.0,0.400000006,0.400000006,0.779999971,1.25,1.679999948,181.6199951,0.959999979,0.75999999
3723.0,2022-03-21,7.3062775,5.141509,1.700000048,2.400000095,4.0,86.30000305,6.300000191,0.910000026,2.0,0.200000003,0.5,1.600000024,2.420000076,9.489999771,142.8200073,1.480000019,3.029999971
3725.0,2022-03-21,7.30622,5.141649,0.389999986,1.460000038,2.279999971,9.220000267,4.199999809,0.079999998,2.900000095,0.0,0.100000001,0.519999981,1.460000038,5.050000191,7.010000229,0.670000017,1.809999943
3727.0,2022-03-21,7.3061565,5.1418035,0.779999971,2.220000029,5.239999771,4.300000191,5.099999905,0.899999976,2.900000095,0.0,0.899999976,0.779999971,2.220000029,19.01000023,8.880000114,0.670000017,2.130000114
3729.0,2022-03-21,7.306083,5.1419835,0.779999971,1.090000033,4.159999847,3.75999999,4.0,0.159999996,2.299999952,0.0,0.200000003,0.939999998,1.289999962,5.71999979,46.84000015,1.320000052,0.829999983
3731.0,2022-03-21,7.3060015,5.1421875,0.779999971,1.080000043,3.059999943,3.329999924,4.0,0.100000001,2.200000048,0.0,0.100000001,0.519999981,1.080000043,4.159999847,5.46999979,0.660000026,0.75
