Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
49:45.0,3/21/2022,7.2802935,5.205182,1.919999957,3.049999952,4.829999924,61.13000107,5.300000191,0.209999993,2.099999905,0.100000001,0.200000003,2.210000038,3.640000105,13.73999977,94.94000244,2.859999895,3.710000038
49:47.0,3/21/2022,7.2803265,5.20542,0.779999971,2.109999895,3.180000067,147.2200012,3.900000095,0.239999995,2.099999905,0.300000012,0.200000003,0.779999971,1.950000048,15.82999992,155.2799988,0.680000007,2.299999952
49:49.0,3/21/2022,7.2803615,5.2056665,0.779999971,1.399999976,1.809999943,149.1000061,4.300000191,0.100000001,2,0.300000012,0.100000001,0.779999971,1.169999957,1.690000057,154.4900055,1.320000052,1.629999995
49:51.0,3/21/2022,7.2803975,5.205924,0.389999986,1.090000033,0.74000001,146.6199951,4.400000095,0.230000004,2,0.300000012,0.200000003,0.519999981,1.289999962,1.580000043,153.8300018,0.649999976,0.75
49:53.0,3/21/2022,7.2804335,5.206187,0.779999971,1.100000024,2.059999943,142.9400024,4.800000191,0.829999983,2,0.300000012,0.800000012,0.779999971,1.110000014,10.86999989,150.0700073,0.649999976,0.939999998
49:55.0,3/21/2022,7.2804665,5.2064515,1.460000038,1.860000014,2.700000048,139.2599945,4.800000191,0.209999993,2,0.300000012,0.200000003,1.460000038,1.860000014,9.359999657,146.0099945,1.179999948,2.119999886
49:57.0,3/21/2022,7.280499,5.2067205,0.779999971,2.710000038,2.150000095,137.6000061,6,0.230000004,2,0.300000012,0.200000003,0.779999971,1.919999957,4.420000076,143.3699951,1.289999962,2.079999924
49:59.0,3/21/2022,7.280536,5.2069905,0.779999971,1.679999948,0.939999998,146.5,11.5,0.870000005,2,0.300000012,0.899999976,0.779999971,2.430000067,19.87999916,151.2899933,0.680000007,1.840000033
50:01.0,3/21/2022,7.280572,5.207256,0.389999986,1.320000052,2.529999971,148.8600006,3.599999905,0.100000001,2.099999905,0.300000012,0.100000001,0.519999981,1.470000029,1.629999995,154.8800049,0.649999976,1.799999952
50:03.0,3/21/2022,7.28061,5.2075175,1.24000001,1.230000019,1.909999967,101.7900009,7,0.02,2.400000095,0.100000001,0,1.24000001,0.870000005,1.440000057,129.8600006,1.230000019,1.450000048
50:05.0,3/21/2022,7.2806465,5.2077825,0.779999971,0.670000017,1.970000029,202.6799927,5.400000095,0.109999999,2.799999952,0.5,0.100000001,0.779999971,0.949999988,3.799999952,188.0899963,1.5,1.409999967
50:07.0,3/21/2022,7.2806795,5.208045,1.460000038,2.930000067,1.929999948,179.1999969,5.800000191,0.219999999,2,0.400000006,0.200000003,1.460000038,2.930000067,4.489999771,192.1900024,1.230000019,2.940000057
50:09.0,3/21/2022,7.2807135,5.208301,1.24000001,2.25,3.039999962,145.6600037,7.599999905,0.02,2.299999952,0.100000001,0,1.090000033,2.809999943,3.109999895,147.2200012,1.360000014,2.559999943
50:11.0,3/21/2022,7.2807485,5.208555,1.299999952,1.730000019,4.210000038,52.95999908,7,0.02,2.099999905,0.100000001,0,1.590000033,1.700000048,7.369999886,46.84000015,1.730000019,1.440000057
50:13.0,3/21/2022,7.2807805,5.2088085,1.24000001,1.360000014,4.519999981,154.9400024,6.099999905,0.02,2,0.100000001,0,1.220000029,1.470000029,11.56999969,149.5800018,1.480000019,1.269999981
50:15.0,3/21/2022,7.280814,5.2090625,1.24000001,0.699999988,1.639999986,101.8600006,9.300000191,0.07,2,0.100000001,0.100000001,1.679999948,0.699999988,1.059999943,138.8500061,1.610000014,2.230000019
50:17.0,3/21/2022,7.280849,5.20932,1.460000038,2.339999914,2.690000057,178.8099976,5.199999809,0.140000001,2,0.400000006,0.100000001,1.460000038,2.339999914,9.229999542,182.8699951,1.210000038,0.839999974
50:19.0,3/21/2022,7.280884,5.2095825,0.779999971,2.109999895,2.369999886,176.6799927,3.599999905,0.090000004,2,0.400000006,0.100000001,0.779999971,2.109999895,4.739999771,181.1600037,0.670000017,2.819999933
50:21.0,3/21/2022,7.280921,5.2098495,0.779999971,2,1.929999948,179.2400055,8.199999809,0.579999983,2,0.400000006,0.600000024,0.779999971,1.549999952,3.920000076,181.9900055,1,1.679999948
50:23.0,3/21/2022,7.2809565,5.2101175,0.389999986,1.090000033,3.039999962,174.2799988,6,0.689999998,2,0.400000006,0.699999988,0.519999981,1.409999967,1.639999986,177.9700012,0.649999976,2.059999943
50:25.0,3/21/2022,7.2809885,5.210386,0.779999971,1.039999962,0.720000029,176.6699982,11.30000019,0.769999981,2,0.400000006,0.800000012,0.779999971,1.25,1.450000048,180.8999939,0.649999976,0.75999999
50:27.0,3/21/2022,7.281021,5.210646,0.779999971,0.569999993,3.99000001,179.5800018,5.900000095,0.219999999,2,0.400000006,0.200000003,0.779999971,0.569999993,3.869999886,180.8099976,0.649999976,1.519999981
50:29.0,3/21/2022,7.281056,5.210904,1.460000038,2.930000067,2.890000105,179.6300049,4,0.150000006,2,0.400000006,0.200000003,1.460000038,2.930000067,9.609999657,182.8699951,1.25,2.619999886
50:31.0,3/21/2022,7.2810915,5.211161,1.210000038,2.420000076,3.450000048,141.3999939,6.5,0.25999999,2,0.300000012,0.300000012,1.169999957,2.029999971,12.31000042,157.4499969,1.889999986,1.799999952
50:33.0,3/21/2022,7.281129,5.211418,0.779999971,1.360000014,2.170000076,181.4199982,4,0.07,2,0.400000006,0.100000001,0.779999971,1.120000005,3.150000095,181.9799957,0.959999979,2.579999924
50:35.0,3/21/2022,7.281165,5.211678,0.389999986,1.320000052,4.25,183.6600037,3.700000048,3.670000076,2,0.400000006,3.700000048,0.519999981,1.470000029,2.230000019,183.6499939,0.660000026,0.959999979
50:37.0,3/21/2022,7.2811935,5.2119275,0.779999971,1.090000033,5.289999962,180.4600067,4,0.159999996,2,0.400000006,0.200000003,0.779999971,1.090000033,6.269999981,177.1300049,1.309999943,1.600000024
