,Time,Date,Latitude,Longitude,Call Established/Calldrop,Timing Advance,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1
8876,59:11.0,2/22/2022,7.2861015,5.1686175,Call Established,0.5,-74.69999695,3,
8924,00:37.0,2/22/2022,7.284834,5.178528,Call Established,1.5,-73.59999847,2.700000048,
8972,02:01.0,2/22/2022,7.2826425,5.1884805,Call Established,,-60.29999924,-11.19999981,-49
9020,03:27.0,2/22/2022,7.2814005,5.190765,Call Established,,-74.59999847,-13.60000038,-60.59999847
9065,04:49.0,2/22/2022,7.27972,5.196155,Call Established,3,-73,4,
9110,06:11.0,2/22/2022,7.2808425,5.2092325,Call Established,,-67.5,3,
9155,07:33.0,2/22/2022,7.281557,5.2145735,Call Established,,-72.19999695,3,
9209,09:09.0,2/22/2022,7.2807035,5.222569,Call Established,,-62.5,3,
9254,10:29.1,2/22/2022,7.27831128,5.226852556,Call Established,,,,
9300,11:53.0,2/22/2022,7.2767345,5.237955,Call Established,,-84.5,3.299999952,
9360,13:43.0,2/22/2022,7.2760455,5.2472525,Call Established,,-63.09999847,-11.19999981,-51.40000153
9410,15:15.0,2/22/2022,7.270965,5.262075,Call Established,,-71.90000153,-11.89999962,-60.09999847
9456,16:37.0,2/22/2022,7.273105,5.2750955,Call Established,,-75.59999847,-12.19999981,-62.5
9500,17:59.0,2/22/2022,7.276566,5.2848025,Call Established,,-89.69999695,3,
9549,19:29.0,2/22/2022,7.2762115,5.295605,Call Established,,-89.59999847,-11.80000019,-76.80000305
9643,22:29.0,2/22/2022,7.2628295,5.2722685,Call Established,,-84.40000153,-17,-67.09999847
9740,25:35.0,2/22/2022,7.2622985,5.241565,Call Established,,-86.80000305,-7.300000191,-79.09999847
9837,28:39.0,2/22/2022,7.2546225,5.218257,Call Established,,-49.79999924,3,
9933,31:43.0,2/22/2022,7.2460985,5.2215465,Call Established,,-49.70000076,3.799999952,
10028,34:43.0,2/22/2022,7.2401285,5.21363,Call Established,,-63.09999847,3.400000095,
10121,37:43.0,2/22/2022,7.2494865,5.2054465,Call Established,,-72,4.199999809,
10218,40:47.0,2/22/2022,7.2529565,5.196701,Call Established,,-73.40000153,3.200000048,
10312,43:47.0,2/22/2022,7.254541,5.1929395,Call Established,,-66.69999695,0,
10407,46:47.0,2/22/2022,7.26157,5.173002,Call Established,,-63.59999847,-11.19999981,-50.29999924
10502,49:51.0,2/22/2022,7.2630235,5.1640985,Call Established,,-80.69999695,3,
10595,52:51.0,2/22/2022,7.263547,5.160197,Call Established,,-74.69999695,3.799999952,
10665,55:03.0,2/22/2022,7.263547,5.160197,Call Established,,-86.09999847,-15,-71.19999695
10760,58:05.0,2/22/2022,7.269746,5.1616165,Call Established,,-66.5,3,
10852,01:03.0,2/22/2022,7.2735875,5.1564725,Call Established,,-90.09999847,-14.60000038,-75.19999695
10946,04:03.0,2/22/2022,7.278995,5.1529685,Call Established,,-77.40000153,3.200000048,
11042,07:03.0,2/22/2022,7.286019,5.1528935,Call Established,,-69.59999847,-8.100000381,-61
11136,10:05.0,2/22/2022,7.2928165,5.1510415,Call Established,,-70.40000153,3.5,
11232,13:09.0,2/22/2022,7.2983265,5.145406,Call Established,,-65.80000305,3.799999952,
11326,16:09.0,2/22/2022,7.3064365,5.1389535,Call Established,,-52.70000076,3.700000048,
11419,19:11.0,2/22/2022,7.300885,5.1315635,Call Established,,-70.69999695,3,
11512,22:11.0,2/22/2022,7.2973235,5.134835,Call Established,,-72,2.599999905,
11638,03:13.0,2/23/2022,7.3033035,5.1368665,Call Established,,-61.59999847,3.799999952,
11768,07:11.0,2/23/2022,7.304209667,5.132827833,Call Established,,-70.30000305,3.299999952,
11895,11:11.0,2/23/2022,7.2957035,5.138185,Call Established,,-63,3.700000048,
12029,15:17.0,2/23/2022,7.2929245,5.1503895,Call Established,,-78,-15.60000038,-61.90000153
12164,19:19.0,2/23/2022,7.2838735,5.1540055,Call Established,,-66.30000305,-10.80000019,-54.29999924
12297,23:19.0,2/23/2022,7.2735715,5.156275,Call Established,,-79.90000153,3.799999952,
12426,27:23.0,2/23/2022,7.264413,5.1627325,Call Established,,-68.19999695,3,
12557,31:21.0,2/23/2022,7.2517065,5.17344,Call Established,,-77.5,-21.10000038,-55.40000153
12685,35:19.0,2/23/2022,7.251234,5.194594,Call Established,,-49.59999847,3,
12812,39:29.0,2/23/2022,7.2388235,5.2120425,Call Established,1,-70.5,4.400000095,
12826,39:55.0,2/23/2022,7.237348,5.2140125,Dropped Call,,-71.59999847,1.399999976,
12938,43:25.0,2/23/2022,7.239233,5.2241725,Call Established,,-73.59999847,-10.80000019,-61.5
13073,47:35.0,2/23/2022,7.261235,5.2273545,Call Established,,-69.80000305,-9,-60.79999924
13204,51:35.0,2/23/2022,7.261525,5.2686375,Call Established,,-69.09999847,3,
13330,55:33.0,2/23/2022,7.2765,5.2945625,Call Established,,-76.90000153,-5.900000095,-70.09999847
13459,59:33.0,2/23/2022,7.2707365,5.2669775,Call Established,1,-86.90000153,2.799999952,
13589,03:29.0,2/23/2022,7.2764215,5.243454,Call Established,,-72.90000153,-10.10000038,-62.5
13729,07:57.0,2/23/2022,7.2785985,5.2262115,Call Established,,-84.90000153,-10.10000038,-73.09999847
13852,11:57.0,2/23/2022,7.279641,5.1968065,Call Established,,-62.59999847,3,
13975,15:51.0,2/23/2022,7.2821825,5.189328,Call Established,,-66.30000305,-6.5,-59.20000076
14115,20:29.0,2/23/2022,7.286135,5.168445,Call Established,,-80.5,4.800000191,
14257,24:47.0,2/23/2022,7.3028485,5.149406,Call Established,0.5,-72.59999847,2.599999905,
14409,29:45.0,2/23/2022,7.309106,5.134924,Call Established,,-70,-10.69999981,-58.70000076
14457,31:07.0,2/23/2022,7.3147055,5.122554,Call Established,,-87.5,3.799999952,
14517,32:53.0,2/23/2022,7.32214,5.114499,Call Established,,-68.59999847,-5.199999809,-67.19999695
14582,34:53.0,2/23/2022,7.340108,5.10302,Call Established,,-76.59999847,-15.60000038,-60.29999924
14626,36:13.0,2/23/2022,7.34739275,5.10267025,Call Established,,-62.29999924,-8.600000381,-56.70000076
14686,38:03.0,2/23/2022,7.3498845,5.10895,Call Established,,-82.59999847,-14.89999962,-66.30000305
14788,41:17.0,2/23/2022,7.362015,5.104694,Dropped Call,,-72.90000153,0,
14957,56:17.0,2/24/2022,7.297185,5.134595,Call Established,0,-64.09999847,3,
15081,00:15.0,2/24/2022,7.297425,5.135514,Call Established,,-76.40000153,1.899999976,
15210,04:15.0,2/24/2022,7.3017625,5.1315675,Call Established,,-73.80000305,3.299999952,
15333,08:17.0,2/24/2022,7.2979885,5.142982,Call Established,1,-90.19999695,2.599999905,
15464,12:17.0,2/24/2022,7.295064583,5.149586833,Call Established,,-69.09999847,3.5,
15591,16:15.0,2/24/2022,7.300275,5.14476,Call Established,2.5,-77,2.599999905,
15716,20:17.0,2/24/2022,7.300273,5.144768,Call Established,1,-62.5,3,
15845,24:33.0,2/24/2022,7.300277,5.144772,Call Established,,-75.80000305,-15.5,-63.29999924
15968,28:41.0,2/24/2022,7.302845,5.1412395,Call Established,,-75,0,
16112,33:17.0,2/24/2022,7.3035585,5.148111,Call Established,,-83,-15.10000038,-67.40000153
16238,37:17.0,2/24/2022,7.293454,5.158556,Call Established,1,-66.30000305,0.400000006,
16368,41:17.0,2/24/2022,7.2845045,5.1820045,Call Established,,-84.69999695,-14.69999981,-70
16493,45:15.0,2/24/2022,7.280722,5.1923035,Call Established,,-75.09999847,4.199999809,
16624,49:13.0,2/24/2022,7.281775,5.217964,Call Established,,-87.19999695,3.799999952,
16776,53:57.0,2/24/2022,7.2765825,5.242392,Call Established,,-82.80000305,-12.19999981,-70.59999847
16919,58:31.0,2/24/2022,7.2723185,5.273041,Call Established,,-81.40000153,-11,-68.30000305
17046,02:29.0,2/24/2022,7.2759,5.2926175,Call Established,,-82.5,-4.900000095,-78.40000153
17184,06:49.0,2/24/2022,7.261265,5.2532135,Call Established,,-70.90000153,-13.10000038,-57.5
17310,10:47.0,2/24/2022,7.2546275,5.218242,Call Established,1.5,-82.69999695,2.599999905,
17436,14:51.0,2/24/2022,7.2514475,5.205056,Call Established,,-65.59999847,3.200000048,
17571,18:57.0,2/24/2022,7.2553485,5.1894795,Call Established,,-74.40000153,3.599999905,
17704,22:55.2,2/24/2022,7.250930749,5.170124404,Call Established,,,,
17831,26:53.0,2/24/2022,7.267527,5.1617875,Call Established,,-68.59999847,3,
17981,31:35.0,2/24/2022,7.275255,5.1525785,Call Established,,-69.40000153,3.200000048,
18110,35:35.0,2/24/2022,7.2862125,5.153009,Call Established,,-66.90000153,3.900000095,
18237,39:33.0,2/24/2022,7.296255,5.1494535,Call Established,,-63.90000153,3.5,
18366,43:39.0,2/24/2022,7.2969632,5.1355808,Call Established,,-73.30000305,0,
