Unnamed: 0,Time,Latitude,Longitude,Call Established/Calldrop,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1
123,3929.0,7.2388235,5.2120425,1,-70.5,4.400000095,0.0
124,3955.0,7.237348,5.2140125,0,-71.59999847,1.399999976,0.0
125,4325.0,7.239233,5.2241725,1,-73.59999847,-10.80000019,-61.5
126,4735.0,7.261235,5.2273545,1,-69.80000305,-9.0,-60.79999924
127,5135.0,7.261525,5.2686375,1,-69.09999847,3.0,0.0
128,5533.0,7.2765,5.2945625,1,-76.90000153,-5.900000095,-70.09999847
129,5933.0,7.2707365,5.2669775,1,-86.90000153,2.799999952,0.0
130,329.0,7.2764215,5.243454,1,-72.90000153,-10.10000038,-62.5
131,757.0,7.2785985,5.2262115,1,-84.90000153,-10.10000038,-73.09999847
132,1157.0,7.279641,5.1968065,1,-62.59999847,3.0,0.0
133,1551.0,7.2821825,5.189328,1,-66.30000305,-6.5,-59.20000076
134,2029.0,7.286135,5.168445,1,-80.5,4.800000191,0.0
135,2447.0,7.3028485,5.149406,1,-72.59999847,2.599999905,0.0
136,2945.0,7.309106,5.134924,1,-70.0,-10.69999981,-58.70000076
137,3107.0,7.3147055,5.122554,1,-87.5,3.799999952,0.0
138,3253.0,7.32214,5.114499,1,-68.59999847,-5.199999809,-67.19999695
139,3453.0,7.340108,5.10302,1,-76.59999847,-15.60000038,-60.29999924
140,3613.0,7.34739275,5.10267025,1,-62.29999924,-8.600000381,-56.70000076
141,3803.0,7.3498845,5.10895,1,-82.59999847,-14.89999962,-66.30000305
142,4117.0,7.362015,5.104694,0,-72.90000153,0.0,0.0
143,5617.0,7.297185,5.134595,1,-64.09999847,3.0,0.0
144,15.0,7.297425,5.135514,1,-76.40000153,1.899999976,0.0
145,415.0,7.3017625,5.1315675,1,-73.80000305,3.299999952,0.0
146,817.0,7.2979885,5.142982,1,-90.19999695,2.599999905,0.0
147,1217.0,7.295064583,5.149586833,1,-69.09999847,3.5,0.0
148,1615.0,7.300275,5.14476,1,-77.0,2.599999905,0.0
149,2017.0,7.300273,5.144768,1,-62.5,3.0,0.0
150,2433.0,7.300277,5.144772,1,-75.80000305,-15.5,-63.29999924
151,2841.0,7.302845,5.1412395,1,-75.0,0.0,0.0
152,3317.0,7.3035585,5.148111,1,-83.0,-15.10000038,-67.40000153
153,3717.0,7.293454,5.158556,1,-66.30000305,0.400000006,0.0
154,4117.0,7.2845045,5.1820045,1,-84.69999695,-14.69999981,-70.0
155,4515.0,7.280722,5.1923035,1,-75.09999847,4.199999809,0.0
156,4913.0,7.281775,5.217964,1,-87.19999695,3.799999952,0.0
157,5357.0,7.2765825,5.242392,1,-82.80000305,-12.19999981,-70.59999847
158,5831.0,7.2723185,5.273041,1,-81.40000153,-11.0,-68.30000305
159,229.0,7.2759,5.2926175,1,-82.5,-4.900000095,-78.40000153
160,649.0,7.261265,5.2532135,1,-70.90000153,-13.10000038,-57.5
161,1047.0,7.2546275,5.218242,1,-82.69999695,2.599999905,0.0
162,1451.0,7.2514475,5.205056,1,-65.59999847,3.200000048,0.0
163,1857.0,7.2553485,5.1894795,1,-74.40000153,3.599999905,0.0
164,2255.2,7.250930749,5.170124404,1,0.0,0.0,0.0
165,2653.0,7.267527,5.1617875,1,-68.59999847,3.0,0.0
166,3135.0,7.275255,5.1525785,1,-69.40000153,3.200000048,0.0
167,3535.0,7.2862125,5.153009,1,-66.90000153,3.900000095,0.0
168,3933.0,7.296255,5.1494535,1,-63.90000153,3.5,0.0
169,4339.0,7.2969632,5.1355808,1,-73.30000305,0.0,0.0
