UniqueID,Time,Date,Latitude,Longitude,Call Established/Calldrop,Timing Advance,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1,Time of the Day
12029,15:17.0,2/23/2022,7.2929245,5.1503895,Call Established,,-78,-15.60000038,-61.90000153,Evening
12164,19:19.0,2/23/2022,7.2838735,5.1540055,Call Established,,-66.30000305,-10.80000019,-54.29999924,Evening
12297,23:19.0,2/23/2022,7.2735715,5.156275,Call Established,,-79.90000153,3.799999952,,Evening
12426,27:23.0,2/23/2022,7.264413,5.1627325,Call Established,,-68.19999695,3,,Evening
12557,31:21.0,2/23/2022,7.2517065,5.17344,Call Established,,-77.5,-21.10000038,-55.40000153,Evening
12685,35:19.0,2/23/2022,7.251234,5.194594,Call Established,,-49.59999847,3,,Evening
12812,39:29.0,2/23/2022,7.2388235,5.2120425,Call Established,1,-70.5,4.400000095,,Evening
12826,39:55.0,2/23/2022,7.237348,5.2140125,Dropped Call,,-71.59999847,1.399999976,,Evening
12938,43:25.0,2/23/2022,7.239233,5.2241725,Call Established,,-73.59999847,-10.80000019,-61.5,Evening
13073,47:35.0,2/23/2022,7.261235,5.2273545,Call Established,,-69.80000305,-9,-60.79999924,Morning
13204,51:35.0,2/23/2022,7.261525,5.2686375,Call Established,,-69.09999847,3,,Morning
13330,55:33.0,2/23/2022,7.2765,5.2945625,Call Established,,-76.90000153,-5.900000095,-70.09999847,Morning
13459,59:33.0,2/23/2022,7.2707365,5.2669775,Call Established,1,-86.90000153,2.799999952,,Morning
13589,03:29.0,2/23/2022,7.2764215,5.243454,Call Established,,-72.90000153,-10.10000038,-62.5,Morning
13729,07:57.0,2/23/2022,7.2785985,5.2262115,Call Established,,-84.90000153,-10.10000038,-73.09999847,Morning
13852,11:57.0,2/23/2022,7.279641,5.1968065,Call Established,,-62.59999847,3,,Morning
13975,15:51.0,2/23/2022,7.2821825,5.189328,Call Established,,-66.30000305,-6.5,-59.20000076,Morning
14115,20:29.0,2/23/2022,7.286135,5.168445,Call Established,,-80.5,4.800000191,,Morning
14257,24:47.0,2/23/2022,7.3028485,5.149406,Call Established,0.5,-72.59999847,2.599999905,,Morning
14409,29:45.0,2/23/2022,7.309106,5.134924,Call Established,,-70,-10.69999981,-58.70000076,Morning
14457,31:07.0,2/23/2022,7.3147055,5.122554,Call Established,,-87.5,3.799999952,,Morning
14517,32:53.0,2/23/2022,7.32214,5.114499,Call Established,,-68.59999847,-5.199999809,-67.19999695,Morning
14582,34:53.0,2/23/2022,7.340108,5.10302,Call Established,,-76.59999847,-15.60000038,-60.29999924,Morning
